IP:PORT, LOSS, DELAY
[2606:4700:d1::197d:9d44:6ca4:77cf]:2408,0.00%,157 ms
[2606:4700:d1::6d51:5d82:7210:b7e5]:2408,0.00%,157 ms
[2606:4700:d1::7b63:0c91:e913:e91b]:859,0.00%,157 ms
[2606:4700:d1::206f:7c48:6984:4e38]:2408,0.00%,157 ms
[2606:4700:d0::30b4:b61c:bb15:6a45]:2408,0.00%,157 ms
[2606:4700:d0::30b4:b61c:bb15:6a45]:859,0.00%,157 ms
[2606:4700:d1::29a4:41f0:ed52:1479]:2408,0.00%,157 ms
[2606:4700:d1::7af2:7dfa:474f:d33b]:859,0.00%,157 ms
[2606:4700:d0::2b1c:677b:30b4:11ed]:2408,0.00%,157 ms
[2606:4700:d0::f1a4:8224:a986:b4d3]:859,0.00%,157 ms
[2606:4700:d0::ee68:202e:3727:88d3]:2408,0.00%,157 ms
[2606:4700:d1::b481:5e86:b1c8:c803]:859,0.00%,157 ms
[2606:4700:d1::fe62:571f:f241:166b]:2408,0.00%,157 ms
[2606:4700:d1::75ea:2662:8419:6035]:2408,0.00%,157 ms
[2606:4700:d0::e866:d821:e908:97b6]:2408,0.00%,157 ms
[2606:4700:d1::7344:8482:3725:1173]:2408,0.00%,157 ms
[2606:4700:d1::f7df:bf9b:4d9c:b7ab]:859,0.00%,157 ms
[2606:4700:d0::33d0:149e:2b2e:34de]:2408,0.00%,157 ms
[2606:4700:d1::b854:6074:24fa:4788]:859,0.00%,157 ms
[2606:4700:d1::0786:ed84:9f02:ad11]:2408,0.00%,157 ms
[2606:4700:d0::2b1c:677b:30b4:11ed]:859,0.00%,157 ms
[2606:4700:d1::f7df:bf9b:4d9c:b7ab]:2408,0.00%,157 ms
[2606:4700:d1::b32f:ee03:21ea:a265]:2408,0.00%,157 ms
[2606:4700:d0::0573:8cb9:db65:3590]:2408,0.00%,157 ms
[2606:4700:d1::4849:9d84:49c0:adbd]:859,0.00%,157 ms
[2606:4700:d0::be2d:52fc:adcb:bfa5]:859,0.00%,157 ms
[2606:4700:d0::b849:357b:3f21:f3de]:2408,0.00%,157 ms
[2606:4700:d0::e866:d821:e908:97b6]:859,0.00%,157 ms
[2606:4700:d0::35d7:5562:1c7f:d0d5]:859,0.00%,157 ms
[2606:4700:d1::0786:ed84:9f02:ad11]:859,0.00%,157 ms
[2606:4700:d1::6d51:5d82:7210:b7e5]:859,0.00%,157 ms
[2606:4700:d1::66ed:9878:8005:eb82]:2408,0.00%,157 ms
[2606:4700:d1::6795:bcda:4477:a8b0]:2408,0.00%,157 ms
[2606:4700:d1::61b9:a9df:effa:5fe8]:2408,0.00%,157 ms
[2606:4700:d1::fc4e:f231:5f33:c15d]:859,0.00%,157 ms
[2606:4700:d1::7344:8482:3725:1173]:859,0.00%,157 ms
[2606:4700:d0::33d0:149e:2b2e:34de]:859,0.00%,157 ms
[2606:4700:d1::fe62:571f:f241:166b]:859,0.00%,157 ms
[2606:4700:d1::b9a7:744d:b599:0309]:859,0.00%,157 ms
[2606:4700:d1::b9a7:744d:b599:0309]:2408,0.00%,158 ms
[2606:4700:d1::f196:f386:6d79:0279]:2408,0.00%,158 ms
[2606:4700:d1::b854:6074:24fa:4788]:2408,0.00%,158 ms
[2606:4700:d1::f1dd:2872:a7e0:5bcb]:859,0.00%,158 ms
[2606:4700:d0::be2d:52fc:adcb:bfa5]:2408,0.00%,158 ms
[2606:4700:d0::b4da:a0b3:44ab:e2d7]:859,0.00%,158 ms
[2606:4700:d1::5bf1:0f81:02b3:5e7a]:2408,0.00%,158 ms
[2606:4700:d0::ee68:202e:3727:88d3]:859,0.00%,158 ms
[2606:4700:d0::35d7:5562:1c7f:d0d5]:2408,0.00%,158 ms
[2606:4700:d0::caf3:f238:ea32:6477]:859,0.00%,158 ms
[2606:4700:d1::95b9:e282:115e:8d2a]:859,0.00%,158 ms
[2606:4700:d1::206f:7c48:6984:4e38]:859,0.00%,158 ms
[2606:4700:d1::6fb6:7c2d:604e:ea0a]:859,0.00%,158 ms
[2606:4700:d0::caf3:f238:ea32:6477]:2408,0.00%,158 ms
[2606:4700:d1::bd84:7dbf:eb4e:e2ca]:2408,0.00%,158 ms
[2606:4700:d0::f1a4:8224:a986:b4d3]:2408,0.00%,158 ms
[2606:4700:d0::e7c0:ade0:e279:3ff6]:2408,0.00%,158 ms
[2606:4700:d1::f6c8:d202:c0d9:795b]:2408,0.00%,158 ms
[2606:4700:d1::bd84:7dbf:eb4e:e2ca]:859,0.00%,158 ms
[2606:4700:d1::66ed:9878:8005:eb82]:859,0.00%,158 ms
[2606:4700:d0::c2d7:c210:13e8:f9a9]:2408,0.00%,158 ms
[2606:4700:d1::5bf1:0f81:02b3:5e7a]:859,0.00%,158 ms
[2606:4700:d1::b4ca:5060:04fb:cdcd]:2408,0.00%,158 ms
[2606:4700:d1::e404:a153:b9e4:36e2]:2408,0.00%,158 ms
[2606:4700:d1::f1dd:2872:a7e0:5bcb]:2408,0.00%,158 ms
[2606:4700:d0::b849:357b:3f21:f3de]:859,0.00%,158 ms
[2606:4700:d0::2648:3bfc:6a67:7f95]:859,0.00%,158 ms
[2606:4700:d1::964d:6ba8:1a0b:794b]:859,0.00%,158 ms
[2606:4700:d1::6795:bcda:4477:a8b0]:859,0.00%,158 ms
[2606:4700:d1::9351:3964:6ee4:edfb]:859,0.00%,158 ms
[2606:4700:d0::b4da:a0b3:44ab:e2d7]:2408,0.00%,158 ms
[2606:4700:d1::4b62:4b1d:1f78:8c5c]:2408,0.00%,158 ms
[2606:4700:d1::91e8:8573:5ded:d628]:859,0.00%,158 ms
[2606:4700:d1::ebb6:49b4:736e:e3a4]:859,0.00%,158 ms
[2606:4700:d1::e2fa:4484:81d2:8800]:2408,0.00%,158 ms
[2606:4700:d1::ebb6:49b4:736e:e3a4]:2408,0.00%,158 ms
[2606:4700:d1::e844:b435:c19a:9c20]:859,0.00%,158 ms
[2606:4700:d0::1c61:7340:1f1c:94d1]:859,0.00%,158 ms
