IP:PORT,Delay(ms)
162.159.192.79:880,155
162.159.192.64:1701,155
162.159.192.126:988,155
162.159.192.208:878,155
162.159.192.42:8854,155
162.159.192.67:903,155
162.159.192.127:2408,155
162.159.192.231:1701,155
162.159.192.47:4198,155
162.159.192.164:945,155
162.159.192.25:1014,155
162.159.192.116:955,155
162.159.192.139:1010,155
162.159.192.169:1074,155
162.159.192.142:968,155
162.159.192.65:3854,155
162.159.192.215:968,155
162.159.192.203:1387,155
162.159.192.16:500,155
162.159.192.234:946,155
162.159.192.232:890,155
162.159.192.212:880,155
162.159.192.55:1180,155
162.159.192.126:939,155
162.159.192.197:7156,155
162.159.192.221:2408,155
162.159.192.54:8742,155
162.159.192.218:859,155
162.159.192.123:3854,155
162.159.192.50:8854,155
162.159.192.204:8742,155
162.159.192.123:3138,155
162.159.192.38:8742,155
162.159.192.192:1070,155
162.159.192.154:943,155
162.159.192.15:1180,155
162.159.192.114:955,155
162.159.192.236:1018,155
162.159.192.51:7156,155
162.159.192.202:1387,155
162.159.192.63:1074,155
162.159.192.149:946,155
162.159.192.228:864,155
162.159.192.101:943,155
162.159.192.94:864,155
162.159.192.178:3581,155
162.159.192.113:1180,155
162.159.192.170:2506,155
162.159.192.46:1014,155
162.159.192.199:928,155
162.159.192.16:1014,155
162.159.192.193:859,155
162.159.192.143:1010,155
162.159.192.132:7281,155
162.159.192.66:928,155
162.159.192.96:943,155
162.159.192.85:7559,155
162.159.192.94:890,155
162.159.192.222:946,155
162.159.192.181:8854,155
162.159.192.126:1002,155
162.159.192.203:891,155
162.159.192.85:859,155
162.159.192.170:859,155
162.159.192.236:968,155
162.159.192.253:5279,155
162.159.192.241:1180,155
162.159.192.19:8742,155
162.159.192.94:891,155
162.159.192.162:4177,155
162.159.192.61:891,155
162.159.192.208:1701,155
162.159.192.203:864,155
162.159.192.205:7281,155
162.159.192.236:8886,155
162.159.192.221:878,155
162.159.192.107:943,155
162.159.192.100:3581,155
162.159.192.170:878,155
162.159.192.193:2408,155
162.159.192.156:7559,155
162.159.192.246:854,155
162.159.192.45:945,155
162.159.192.108:3854,155
162.159.192.41:5956,155
162.159.192.197:854,155
162.159.192.181:1070,155
162.159.192.206:8742,155
162.159.192.159:908,155
162.159.192.209:4500,155
162.159.192.91:7152,155
162.159.192.226:968,155
162.159.192.143:7559,155
162.159.192.163:891,155
162.159.192.77:945,155
162.159.192.228:1180,155
162.159.192.96:5279,155
162.159.192.198:946,155
162.159.192.142:3138,155
162.159.192.95:987,155
162.159.192.183:4177,155
162.159.192.36:1843,155
162.159.192.175:1070,155
162.159.192.240:4177,155
162.159.192.142:5279,155
162.159.192.30:1074,155
162.159.192.130:3476,155
162.159.192.15:2408,155
162.159.192.239:5279,155
162.159.192.74:903,155
162.159.192.57:1070,156
162.159.192.183:894,156
162.159.192.100:2371,156
162.159.192.210:864,156
162.159.192.248:903,156
162.159.192.101:939,156
162.159.192.85:880,156
162.159.192.66:946,156
162.159.192.254:891,156
162.159.192.0:942,156
162.159.192.38:1387,156
162.159.192.121:934,156
162.159.192.78:7559,156
162.159.192.201:864,156
162.159.192.41:928,156
162.159.192.34:5956,156
162.159.192.204:988,156
162.159.192.152:987,156
162.159.192.122:4177,156
162.159.192.17:939,156
162.159.192.202:5279,156
162.159.192.159:2506,156
162.159.192.36:1180,156
162.159.192.81:7156,156
162.159.192.38:859,156
162.159.192.248:1387,156
162.159.192.248:943,156
162.159.192.35:878,156
162.159.192.66:7156,156
162.159.192.26:8319,156
162.159.192.238:500,156
162.159.192.132:1180,156
162.159.192.20:7103,156
162.159.192.239:903,156
162.159.192.239:2408,156
162.159.192.79:968,156
162.159.192.109:500,156
162.159.192.99:891,156
162.159.192.236:7559,156
162.159.192.248:894,156
162.159.192.227:988,156
162.159.192.75:854,156
162.159.192.231:500,156
162.159.192.90:878,156
162.159.192.142:928,156
162.159.192.207:3581,156
162.159.192.150:1180,156
162.159.192.19:3476,156
162.159.192.163:3854,156
162.159.192.161:7103,156
162.159.192.227:7152,156
162.159.192.206:1018,156
162.159.192.205:1070,156
162.159.192.86:7103,156
162.159.192.152:3581,156
162.159.192.230:4233,156
162.159.192.105:854,156
162.159.192.158:3581,156
162.159.192.204:2506,156
162.159.192.101:3854,156
162.159.192.15:8854,156
162.159.192.101:8854,156
162.159.192.252:1074,156
162.159.192.31:4500,156
162.159.192.201:2371,156
162.159.192.57:2371,156
162.159.192.28:880,156
162.159.192.39:955,156
162.159.192.64:3476,156
162.159.192.148:1843,156
162.159.192.81:1014,156
162.159.192.77:943,156
162.159.192.182:943,156
162.159.192.169:1002,156
162.159.192.169:955,156
162.159.192.228:1070,156
162.159.192.206:3854,156
162.159.192.82:2408,156
162.159.192.22:859,156
162.159.192.158:943,156
162.159.192.158:1074,156
162.159.192.21:943,156
162.159.192.13:908,156
162.159.192.142:890,156
162.159.192.18:5956,156
162.159.192.204:1070,156
162.159.192.74:1843,156
162.159.192.17:894,156
162.159.192.254:934,156
162.159.192.130:2371,156
162.159.192.226:939,156
162.159.192.42:928,156
162.159.192.42:3581,156
162.159.192.250:3476,156
162.159.192.91:1701,156
162.159.192.42:8319,156
162.159.192.213:3581,156
162.159.192.13:891,156
162.159.192.179:3581,156
162.159.192.190:880,156
162.159.192.178:968,156
162.159.192.79:1010,156
162.159.192.73:939,156
162.159.192.106:7152,156
162.159.192.132:4500,156
162.159.192.183:3581,156
162.159.192.75:3138,156
162.159.192.41:1074,156
162.159.192.18:946,156
162.159.192.46:3581,156
162.159.192.76:2506,156
162.159.192.190:878,156
162.159.192.202:1074,156
162.159.192.50:4198,156
162.159.192.130:864,156
162.159.192.65:928,156
162.159.192.14:934,156
162.159.192.63:903,156
162.159.192.218:908,156
162.159.192.13:4198,156
162.159.192.109:5956,156
162.159.192.202:942,156
162.159.192.61:864,156
162.159.192.114:903,156
162.159.192.65:1843,156
162.159.192.131:1014,156
162.159.192.5:3581,156
162.159.192.227:987,156
162.159.192.182:946,156
162.159.192.248:854,156
162.159.192.32:939,156
162.159.192.90:1070,156
162.159.192.151:880,156
162.159.192.5:928,156
162.159.192.254:1843,156
162.159.192.239:1010,156
162.159.192.32:1180,156
162.159.192.174:7103,156
162.159.192.48:955,156
162.159.192.40:1070,156
162.159.192.214:8742,156
162.159.192.22:1074,156
162.159.192.55:5279,156
162.159.192.250:968,156
162.159.192.0:7559,156
162.159.192.158:894,156
162.159.192.33:5956,156
162.159.192.25:891,156
162.159.192.164:5279,156
162.159.192.183:2371,156
162.159.192.165:864,156
162.159.192.236:7103,156
162.159.192.41:8886,156
162.159.192.186:968,156
162.159.192.81:968,156
162.159.192.25:878,156
162.159.192.91:1843,156
162.159.192.163:7156,156
162.159.192.0:890,156
162.159.192.100:968,156
162.159.192.193:891,156
162.159.192.174:1014,156
162.159.192.245:1002,156
162.159.192.164:942,156
162.159.192.212:8742,156
162.159.192.190:500,156
162.159.192.132:1002,156
162.159.192.61:4198,156
162.159.192.76:854,156
162.159.192.34:500,156
162.159.192.233:3581,156
162.159.192.116:8886,156
162.159.192.148:934,156
162.159.192.205:946,156
162.159.192.179:1002,156
162.159.192.25:1843,156
162.159.192.242:8854,156
162.159.192.182:5279,156
162.159.192.115:891,156
162.159.192.74:3476,156
162.159.192.86:955,156
162.159.192.49:1010,156
162.159.192.167:1843,156
162.159.192.149:7281,156
162.159.192.218:2506,156
162.159.192.122:3581,156
162.159.192.76:4177,156
162.159.192.207:5956,156
162.159.192.146:8886,156
162.159.192.130:1014,156
162.159.192.233:928,156
162.159.192.214:903,156
162.159.192.114:859,156
162.159.192.167:1387,156
162.159.192.30:955,156
162.159.192.177:4198,156
162.159.192.152:7156,156
162.159.192.226:8886,156
162.159.192.54:955,156
162.159.192.221:7156,156
162.159.192.107:1010,156
162.159.192.160:880,156
162.159.192.61:946,157
162.159.192.164:1018,157
162.159.192.201:968,157
162.159.192.32:5279,157
162.159.192.110:955,157
162.159.192.245:4177,157
162.159.192.190:928,157
162.159.192.254:1180,157
162.159.192.127:955,157
162.159.192.253:4500,157
162.159.192.131:1010,157
162.159.192.74:987,157
162.159.192.52:945,157
162.159.192.201:5279,157
162.159.192.199:1018,157
162.159.192.87:864,157
162.159.192.64:955,157
162.159.192.136:1018,157
162.159.192.32:7559,157
162.159.192.86:1010,157
162.159.192.222:2408,157
162.159.192.76:864,157
162.159.192.192:1387,157
162.159.192.177:1180,157
162.159.192.59:8854,157
162.159.192.210:3854,157
162.159.192.107:939,157
162.159.192.229:2506,157
162.159.192.174:4198,157
162.159.192.95:1701,157
162.159.192.232:864,157
162.159.192.56:880,157
162.159.192.74:7156,157
162.159.192.137:2408,157
162.159.192.43:8742,157
162.159.192.143:7281,157
162.159.192.56:903,157
162.159.192.236:854,157
162.159.192.140:987,157
162.159.192.15:1014,157
162.159.192.73:988,157
162.159.192.40:1018,157
162.159.192.165:1010,157
162.159.192.86:894,157
162.159.192.45:987,157
162.159.192.211:1070,157
162.159.192.159:4233,157
162.159.192.249:890,157
162.159.192.5:945,157
162.159.192.170:894,157
162.159.192.24:1387,157
162.159.192.182:1074,157
162.159.192.101:2408,157
162.159.192.193:2506,157
162.159.192.232:3854,157
162.159.192.64:891,157
162.159.192.228:8319,157
162.159.192.227:1074,157
162.159.192.58:4177,157
162.159.192.148:4177,157
162.159.192.53:8319,157
162.159.192.78:988,157
162.159.192.138:1010,157
162.159.192.106:943,157
162.159.192.121:8319,157
162.159.192.24:945,157
162.159.192.42:8742,157
162.159.192.130:1701,157
162.159.192.89:890,157
162.159.192.74:1701,157
162.159.192.136:939,157
162.159.192.45:8854,157
162.159.192.141:1018,157
162.159.192.5:934,157
162.159.192.218:3138,157
162.159.192.239:7152,157
162.159.192.246:4500,157
162.159.192.234:3476,157
162.159.192.118:4177,157
162.159.192.81:3581,157
162.159.192.165:934,157
162.159.192.146:2408,157
162.159.192.142:859,157
162.159.192.248:1074,157
162.159.192.228:5956,157
162.159.192.174:854,157
